rest_name,rest_zone,rating,review,rest_address,rest_type,rest_cost,rest_time
Sushi King,"Trans Studio Mall Cibubur, Cibubur",3.4,(20 Ulasan),"Trans Studio Mall Cibubur, Lantai Lower Ground, Jl. Alternatif Cibubur No. 230, Cibubur, Jakarta","Jepang, Sushi",Harga untuk 2:Rp150.000,Jam:                                      10h - 22h (Sen-Min)
Street Sushi,Tanjung Duren,3.2,(65 Ulasan),"Jl. Tanjung Duren Barat 1 No. 362E, Tanjung Duren, Jakarta","Ramen, Sushi, Jepang",Harga untuk 2:Rp150.000,Jam:                                      14h 30m - 24h (Sen-Min)
AEON Sushi Dash & Go,"fX Sudirman, Sudirman",3.4,(51 Ulasan),"fX Sudirman, Lantai FB, Jl. Jenderal Sudirman, Sudirman, Jakarta","Jepang, Sushi",Harga untuk 2:Rp80.000,Jam:                                      10h - 22h (Sen-Min)
Sushi Bar,"Kuningan City, Kuningan",3.5,(151 Ulasan),"Kuningan City, Lantai Lower Ground, Jl. Prof Dr Satrio, Kuningan, Jakarta","Sushi, Jepang",Harga untuk 2:Rp200.000,Jam:                                      10h - 21h 30m (Sen-Min)
Jikasei Sushi & Rice Bowl,"The BOXX-IN, Pecenongan",3.1,(19 Ulasan),"The BOXX-IN, Jl. Sukarjo Wiryopranoto No. 2, Pecenongan, Jakarta","Sushi, Jepang",Harga untuk 2:Rp80.000,Jam:                                      10h - 23h (Sen-Min)
Angkringan Jepang Aqori,Ciputat,3.4,(31 Ulasan),"Jl. Aria Putra No. 100, Ciputat, Tangerang","Ramen, Sushi, Jepang",Harga untuk 2:Rp80.000,Jam:                                      11h - 23h (Sen-Min)
Kyo Sushi,Kelapa Gading,3.2,(35 Ulasan),"Jl. Boulevard Raya Blok FW 1 No. 8, Kelapa Gading, Jakarta","Jepang, Sushi",Harga untuk 2:Rp150.000,Jam:                                      10h - 22h (Sen-Min)
Oh!Sushi,Daan Mogot,3.2,(9 Ulasan),"Rukan Sentra Niaga, Blok M No. 26, Daan Mogot, Jakarta",Sushi,Harga untuk 2:Rp100.000,Jam:                                      11h - 21h (Sen-Min)
Osuushi,"Kalibata City Square, Kalibata",3.5,(26 Ulasan),"Kalibata City Square, Lantai Lower Ground, Teras Quliner, Jl. Kalibata Raya No. 1, Kalibata, Jakarta","Sushi, Jepang",Harga untuk 2:Rp80.000,Jam:                                      10h - 22h (Sen-Min)
Sushi Master,"Lotte Shopping Avenue, Karet",3.4,(30 Ulasan),"Ciputra World, Lotte Shopping Avenue, Lantai 4, Food Avenue, Jl. Prof Dr Satrio, Karet, Jakarta",Sushi,Harga untuk 2:Rp70.000,Jam:                                      10h - 22h (Sen-Min)
Misushibox,Penjaringan,3.3,(4 Ulasan),"Jl. Gabus No. 43C, Penjaringan, Jakarta","Sushi, Jepang",Harga untuk 2:Rp100.000,"Jam:                                      11h - 21h (Sen, Sel, Kam), Tutup (Rab),11h - 22h..."
Neko Sushi,"Plaza Baru Ciledug, Ciledug",3.2,(21 Ulasan),"Plaza Baru Ciledug, Food Court, Jl. HOS Cokroaminoto, Ciledug, Tangerang","Jepang, Sushi",Harga untuk 2:Rp70.000,Jam:                                      10h - 22h (Sen-Min)
Ohayou Sushi,"Plaza Semanggi, Sudirman",3.4,(9 Ulasan),"Plaza Semanggi, Plangi Sky Dining Lantai 10, Jl. Jenderal Sudirman, Sudirman, Jakarta","Sushi, Jepang",Harga untuk 2:Rp150.000,Jam:                                      16h - 22h (Sen-Min)
Waroeng Sushi,"Cijantung Mall, Cijantung",3.4,(9 Ulasan),"Cijantung Mall, Lantai 3, Jl. Raya Pendidikan No. 1, Cijantung, Jakarta","Jepang, Sushi",Harga untuk 2:Rp80.000,Jam:                                      10h - 22h (Sen-Min)
Kotaku Hikari,Pondok Aren,3.4,(19 Ulasan),"Mahagoni Park, Mahagoni VII, Jl. Graha Bintaro, Pondok Aren, Tangerang",Sushi,Harga untuk 2:Rp120.000,"Jam:                                      10h - 15h (Sen-Sab),Tutup (Min)"
NobuZen,"Pluit Village, Pluit",3.5,(37 Ulasan),"Pluit Village, Lantai 4, Jl. Pluit Indah Raya, Pluit, Jakarta","Sushi, Jepang",Harga untuk 2:Rp120.000,Jam:                                      10h - 22h (Sen-Min)
Nakano Sushi,"Supermall Karawaci, Cibodas",3.3,(9 Ulasan),"Supermal Karawaci, Lantai 1, Makansutra, Jl. Boulevard Diponegoro No. 105, Cibodas, Tangerang","Sushi, Ramen, Jepang",Harga untuk 2:Rp100.000,Jam:                                      10h - 22h (Sen-Min)
OTW Sushi Jakarta,Pondok Bambu,2.9,(13 Ulasan),"Jl. Rawa Domba No.4, Pondok Bambu, Jakarta","Jepang, Sushi",Harga untuk 2:Rp100.000,"Jam:                                      11h - 21h 15m (Sen-Jum),11h - 22h (Sab-Min)"
Sushi Mura,Kelapa Gading,2.8,(4 Ulasan),"Sumagung 3, N2 6, RT.14/RW.2, East Kelapa Gading, Kelapa Gading, Jakarta","Sushi, Jepang",Harga untuk 2:Rp120.000,Jam:                                      10h - 22h (Sen-Min)
Sushi Box,Tebet,3.1,(26 Ulasan),"Jl. Tebet Timur Dalam Raya No. 31, Tebet, Jakarta","Jepang, Sushi",Harga untuk 2:Rp100.000,Jam:                                      10h - 22h (Sen-Min)
Ai Sushi,"Mall Cipinang Indah, Pondok Bambu",2.9,(84 Ulasan),"Mall Cipinang Indah, Lantai Ground, Jl. Cipinang, Pondok Bambu, Jakarta","Jepang, Sushi",Harga untuk 2:Rp150.000,Jam:                                      10h - 22h (Sen-Min)
Sushi Terrace,"Taman Mini Indonesia Indah, Taman Mini",2.7,(41 Ulasan),"Green Terrace TMII, Jl. Pintu Utama 1, Taman Mini, Jakarta","Sushi, Jepang, Ramen",Harga untuk 2:Rp150.000,Jam:                                      12h - 22h (Sen-Min)
Ramen n Sushi Box,Pasar Minggu,2.9,(8 Ulasan),"Pejaten Village, Lantai 3, Jl. Warung Jati Barat, Pasar Minggu, Jakarta","Sushi, Ramen",Harga untuk 2:Rp100.000,Jam:                                      10h - 22h (Sen-Min)
Sushi Miya8i,"Bintaro Jaya Xchange Mall CBD, Pondok Aren",2.6,(8 Ulasan),"Bintaro Jaya Xchange Mall CBD, Lantai 1, Food Xchange, Jl. Boulevard Bintaro Jaya, Pondok Aren, Tangerang","Jepang, Sushi",Harga untuk 2:Rp160.000,Jam:                                      10h - 22h (Sen-Min)
takon' the story of sushi,"Cibinong City Mall, Bogor Utara",2.7,(6 Ulasan),"Cibinong City Mall, Lantai Upper Ground, Jl. Tegar Beriman No. 1, Cibinong, Bogor Utara, Bogor","Jepang, Sushi",Harga untuk 2:Rp50.000,Jam:                                      10h - 22h (Sen-Min)
Shukufuku,"Kota Kasablanka, Tebet",2.7,(34 Ulasan),"Kota Kasablanka, Lantai Lower Ground, Jl. Casablanca Raya, Tebet, Jakarta",Sushi,Harga untuk 2:Rp100.000,Jam:                                      10h - 22h (Sen-Min)
Ramen Sushi Express,"Pesona Square Mall, Sukmajaya",2.7,(24 Ulasan),"Pesona Square Mall, Jl. Ir. H. Juanda No. 99, Sukmajaya, Depok","Jepang, Ramen, Sushi",Harga untuk 2:Rp70.000,Jam:                                      10h - 22h (Sen-Min)
Tanoshi Sushi,"Teras Fatmawati, Fatmawati",2.9,(17 Ulasan),"Teras Fatmawati, Jl Rumah Sakit Fatmawati No 12A, Fatmawati, Jakarta","Sushi, Jepang",Harga untuk 2:Rp80.000,Jam:                                      9h - 22h (Sen-Min)
Ramen 1,"Cibinong City Mall, Bogor Utara",2.6,(53 Ulasan),"Cibinong City Mall, Jl. Tegar Beriman No. 1, Cibinong, Bogor Utara, Bogor","Ramen, Sushi, Jepang",Harga untuk 2:Rp120.000,Jam:                                      10h - 22h (Sen-Min)
Kin No Taki,"Plaza Semanggi, Sudirman",2.9,(76 Ulasan),"Plaza Semanggi, Lantai Ground, Jl. Jenderal Sudirman, Sudirman, Jakarta","Jepang, Ramen, Sushi",Harga untuk 2:Rp250.000,Jam:                                      10h 30m - 22h (Sen-Min)
Zushioda,Rawalumbu,2.9,(35 Ulasan),"Jl. Kemang Pratama No. 11, Rawalumbu, Bekasi","Jepang, Sushi, Ramen",Harga untuk 2:Rp100.000,Jam:                                      12h - 22h (Sen-Min)
Tanoshi Sushi,"KMS Foodcourt, Kemanggisan",2.4,(31 Ulasan),"KMS Foodcourt, Jl. Budi Raya No. 2B, Kemanggisan, Jakarta","Sushi, Jepang",Harga untuk 2:Rp70.000,Jam:                                      11h - 23h (Sen-Min)
Hararu Tei,"Taman Jajan CBD, Pondok Aren",2.4,(4 Ulasan),"Taman Jajan CBD, Jl. Boulevard Bintaro Jaya, Bintaro Sektor 7, Pondok Aren, Tangerang","Sushi, Jepang",Harga untuk 2:Rp100.000,"Jam:                                      Tutup (Sen),11h - 22h (Sel-Kam),16h - 22h (Jum-Min)"
Wabata,"Bay Walk Mall, Pluit",2.2,(49 Ulasan),"Bay Walk Mall, Lantai 2, Jl. Pluit Karang Ayu, Pluit, Jakarta","Jepang, Sushi",Harga untuk 2:Rp200.000,Jam:                                      10h - 22h (Sen-Min)
